"old_path","new_path","sha256_before","sha256_after","size_bytes","category","reason","reference_audit","moved_at","restore_command"
"backend\test-output\visual_flow_compare\lab_02_city_typed.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_02_city_typed.png","844C1BF5183B74D05BCC0AD9796528FCF810ACE04E4E9C7E1CA303BF8EBCDD35","844C1BF5183B74D05BCC0AD9796528FCF810ACE04E4E9C7E1CA303BF8EBCDD35","1314098","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_02_city_typed.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\lab_02_city_typed.png' -Force"
"backend\test-output\visual_flow_compare\lab_03_city_picked.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_03_city_picked.png","A396E9BA23E31174E98D2970611803DEB35AB1C6B9F766187C3B616B67FAF1A0","A396E9BA23E31174E98D2970611803DEB35AB1C6B9F766187C3B616B67FAF1A0","615976","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_03_city_picked.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\lab_03_city_picked.png' -Force"
"backend\test-output\visual_flow_compare\lab_04_mode_single.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_04_mode_single.png","0E30E27176C6265E1EABF6FAC4947C2C50770E20217ECC51785563D021D736FB","0E30E27176C6265E1EABF6FAC4947C2C50770E20217ECC51785563D021D736FB","794812","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_04_mode_single.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\lab_04_mode_single.png' -Force"
"backend\test-output\visual_flow_compare\lab_05_map_click.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_05_map_click.png","19C379CB93931F6B7AD0B638D56B9DCAD16FB4474C00E154235E7942D3FA2AE6","19C379CB93931F6B7AD0B638D56B9DCAD16FB4474C00E154235E7942D3FA2AE6","799701","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\lab_05_map_click.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\lab_05_map_click.png' -Force"
"backend\test-output\visual_flow_compare\prod_01_loaded.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_01_loaded.png","3822E6864A8ADFABB415DDF4109663D14B93F2C4393FA50C4108CEAD15B83F75","3822E6864A8ADFABB415DDF4109663D14B93F2C4393FA50C4108CEAD15B83F75","1310750","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_01_loaded.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\prod_01_loaded.png' -Force"
"backend\test-output\visual_flow_compare\prod_02_city_typed.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_02_city_typed.png","06AE75FF3B5965710B26C8833253FE3A180B0870192AF4B677D66F55059F8F33","06AE75FF3B5965710B26C8833253FE3A180B0870192AF4B677D66F55059F8F33","1312410","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_02_city_typed.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\prod_02_city_typed.png' -Force"
"backend\test-output\visual_flow_compare\prod_03_city_picked.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_03_city_picked.png","A396E9BA23E31174E98D2970611803DEB35AB1C6B9F766187C3B616B67FAF1A0","A396E9BA23E31174E98D2970611803DEB35AB1C6B9F766187C3B616B67FAF1A0","615976","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_03_city_picked.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\prod_03_city_picked.png' -Force"
"backend\test-output\visual_flow_compare\prod_04_mode_single.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_04_mode_single.png","0E30E27176C6265E1EABF6FAC4947C2C50770E20217ECC51785563D021D736FB","0E30E27176C6265E1EABF6FAC4947C2C50770E20217ECC51785563D021D736FB","794812","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_04_mode_single.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\prod_04_mode_single.png' -Force"
"backend\test-output\visual_flow_compare\prod_05_map_click.png","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_05_map_click.png","19C379CB93931F6B7AD0B638D56B9DCAD16FB4474C00E154235E7942D3FA2AE6","19C379CB93931F6B7AD0B638D56B9DCAD16FB4474C00E154235E7942D3FA2AE6","799701","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\prod_05_map_click.png' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\prod_05_map_click.png' -Force"
"backend\test-output\visual_flow_compare\visual_flow_compare.json","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\visual_flow_compare.json","0BB4AF6D444BDC1115DF61DD2944DE8E2A2BC5F899C39DC4A2D019A1B5B4382D","0BB4AF6D444BDC1115DF61DD2944DE8E2A2BC5F899C39DC4A2D019A1B5B4382D","15531","H_TEMP_OUTPUT","not served by server.js","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backend\test-output\visual_flow_compare\visual_flow_compare.json' 'D:\cursor\operativ-navigator_260614\backend\test-output\visual_flow_compare\visual_flow_compare.json' -Force"
"adapter_smoke_test.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\adapter_smoke_test.mjs","0F72A631F8ED20072941D8595D2952205CA54DE762CC5E7B02355A1469F6683C","0F72A631F8ED20072941D8595D2952205CA54DE762CC5E7B02355A1469F6683C","5621","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\adapter_smoke_test.mjs' 'D:\cursor\operativ-navigator_260614\adapter_smoke_test.mjs' -Force"
"bug_rc001_test.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\bug_rc001_test.mjs","24610F4103A7E25B60E4438DA427784507C9BDCE62E3E56720402A81B297D116","24610F4103A7E25B60E4438DA427784507C9BDCE62E3E56720402A81B297D116","4192","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\bug_rc001_test.mjs' 'D:\cursor\operativ-navigator_260614\bug_rc001_test.mjs' -Force"
